type,cycle,total,indexp,eleccomm,commcost,demfor,demagnst,repubfor,repubagnst
NoPty,1990,7213219,5650524,0,1562695,2496935,694364,3109308,867203
NoPty,1992,19635123,10947342,0,8687781,8785053,1456731,8372777,927304
NoPty,1994,9538844,5219215,0,4319629,2849873,1139307,4888094,614463
NoPty,1996,17884043,10167742,0,7716301,6669119,1210676,6238743,3643821
NoPty,1998,15191107,10266937,0,4924170,6071136,396106,7128879,1591813
NoPty,2000,51638411,33778636,0,17859775,25015992,1492988,18001514,6558918
NoPty,2002,27686417,16747650,0,10938767,17766060,467545,7694896,1752976
NoPty,2004,193129472,63885795,98898197,30345480,60063207,4155900,22545608,7401923
NoPty,2006,69534653,37801719,15436132,16296802,21485182,1585021,14855283,15391314
NoPty,2008,338441092,143659191,131137181,63644720,120832945,33570233,20382064,32446156
NoPty,2010,309834180,205519230,79291379,25023571,51661097,83040161,39599983,44489738
NoPty,2012,1038736997,1002135419,15437830,21230660,73333480,454601541,175122392,294832515
NoPty,2014,562720738,549380760,8292848,5047130,49099379,138945388,100906744,188473279
NoPty,2016,1465369669,1455113590,1415227,8840852,137835035,390951891,392571047,507326871
